City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
205,Itarema,BR,2021-01-16 00:49:51,-2.9248,-39.9167,79.02,82,24,12.68
206,Sal Rei,CV,2021-01-16 00:49:51,16.1833,-22.9167,69.8,73,100,23.02
207,Lapeer,US,2021-01-16 00:49:51,43.0514,-83.3188,33.8,100,90,8.19
208,Longyearbyen,SJ,2021-01-16 00:49:51,78.2186,15.6401,14.0,85,40,6.91
209,Port Elizabeth,ZA,2021-01-16 00:49:51,-33.918,25.5701,69.8,73,0,25.32
210,Cartagena,CO,2021-01-16 00:47:52,10.3997,-75.5144,78.8,89,0,4.61
211,Fairbanks,US,2021-01-16 00:47:32,64.8378,-147.7164,15.8,67,40,2.91
212,Budaun,IN,2021-01-16 00:49:51,28.05,79.1167,47.43,56,0,5.91
213,Egvekinot,RU,2021-01-16 00:49:51,66.3167,-179.1667,-8.7,88,100,15.95
214,Bereda,ES,2021-01-16 00:49:51,43.2686,-7.5406,35.01,100,100,1.99
215,Perevolotskiy,RU,2021-01-16 00:49:51,51.8763,54.1938,23.56,98,100,14.79
216,Maragogi,BR,2021-01-16 00:49:51,-9.0122,-35.2225,76.64,79,100,7.87
217,Sayyan,YE,2021-01-16 00:49:52,15.1718,44.3244,41.45,61,0,2.37
218,Hobyo,SO,2021-01-16 00:49:52,5.3505,48.5268,76.98,77,100,18.14
219,Amapa,BR,2021-01-16 00:49:52,1.0,-52.0,72.09,97,0,2.84
220,Kavieng,PG,2021-01-16 00:49:52,-2.5744,150.7967,76.12,87,100,9.6
221,Taos,US,2021-01-16 00:49:52,36.4072,-105.5731,39.2,28,1,3.44
222,Ouegoa,NC,2021-01-16 00:48:11,-20.35,164.4333,84.96,72,100,11.5
223,Goksun,TR,2021-01-16 00:49:52,38.021,36.4973,46.4,100,75,4.61
224,Tulum,MX,2021-01-16 00:49:52,20.2167,-87.4667,77.0,73,75,6.91
225,Baruun-Urt,MN,2021-01-16 00:49:52,46.6806,113.2792,-10.88,84,100,10.29
226,Sechura,PE,2021-01-16 00:49:52,-5.5569,-80.8222,71.94,81,100,8.88
227,Tommot,RU,2021-01-16 00:49:52,58.9564,126.2925,-13.47,87,100,1.41
228,Krutikha,RU,2021-01-16 00:49:52,53.9599,81.2093,-4.36,88,100,10.25
229,Teahupoo,PF,2021-01-16 00:49:52,-17.8333,-149.2667,86.0,66,75,5.75
230,Kautokeino,NO,2021-01-16 00:49:52,69.0125,23.0412,20.8,93,0,8.75
231,Grindavik,IS,2021-01-16 00:49:52,63.8424,-22.4338,35.6,100,90,16.11
232,Dunedin,NZ,2021-01-16 00:49:52,-45.8742,170.5036,66.99,79,48,7.0
233,Haines Junction,CA,2021-01-16 00:49:52,60.7522,-137.5108,26.6,86,90,1.68
234,Yellowknife,CA,2021-01-16 00:49:52,62.456,-114.3525,10.4,85,90,17.27
235,Kiruna,SE,2021-01-16 00:49:06,67.8557,20.2251,19.4,100,0,4.61
236,Viesite,LV,2021-01-16 00:49:52,56.3475,25.5551,6.06,95,98,5.73
237,Launceston,AU,2021-01-16 00:48:15,-41.45,147.1667,66.0,55,90,11.5
238,Wichita Falls,US,2021-01-16 00:49:52,33.9137,-98.4934,48.2,21,1,11.5
239,Hamilton,US,2021-01-16 00:49:53,39.1834,-84.5333,37.0,64,40,3.44
240,Dobrovat,RO,2021-01-16 00:49:53,46.95,27.7,23.0,63,90,4.61
241,Behbahan,IR,2021-01-16 00:48:11,30.5959,50.2417,46.4,49,0,1.7
242,Bolobo,CD,2021-01-16 00:49:53,-2.1667,16.2333,73.69,82,25,3.65
243,Davenport,US,2021-01-16 00:48:54,41.5236,-90.5776,33.8,86,1,5.75
244,Ketchikan,US,2021-01-16 00:49:53,55.3422,-131.6461,42.8,100,90,10.36
245,Nara,JP,2021-01-16 00:49:53,34.6851,135.8049,48.0,76,75,2.3
246,Torbay,CA,2021-01-16 00:49:53,47.6666,-52.7314,30.0,93,90,23.02
247,Lazaro Cardenas,MX,2021-01-16 00:49:53,17.9583,-102.2,75.38,74,74,2.15
248,Port Shepstone,ZA,2021-01-16 00:47:08,-30.7414,30.455,75.74,85,100,3.8
249,Dicabisagan,PH,2021-01-16 00:49:53,17.0818,122.4157,73.92,78,92,10.83
250,Conde,BR,2021-01-16 00:49:53,-7.2597,-34.9075,77.0,88,20,6.91
251,Salekhard,RU,2021-01-16 00:49:53,66.53,66.6019,-7.56,91,100,2.84
252,Fortuna,US,2021-01-16 00:49:53,40.5982,-124.1573,57.99,94,1,3.11
253,Kahului,US,2021-01-16 00:49:09,20.8947,-156.47,84.2,51,20,6.91
254,Squinzano,IT,2021-01-16 00:49:53,40.4365,18.0418,46.4,81,40,10.36
255,Nikolskoye,RU,2021-01-16 00:49:53,59.7035,30.7861,1.0,84,20,4.47
256,Rexburg,US,2021-01-16 00:49:53,43.826,-111.7897,26.6,63,20,2.86
257,Fukue,JP,2021-01-16 00:49:53,32.6881,128.8419,48.2,76,40,14.97
258,Saint-Pierre,RE,2021-01-16 00:49:53,-21.3393,55.4781,77.0,83,20,3.44
259,Uyuni,BO,2021-01-16 00:47:11,-20.4597,-66.825,56.1,52,100,11.14
260,Nishihara,JP,2021-01-16 00:49:54,26.1842,127.7558,69.8,78,20,8.05
261,Mandalgovi,MN,2021-01-16 00:49:54,45.7625,106.2708,-8.34,81,0,12.77
262,Presidencia Roque Saenz Pena,AR,2021-01-16 00:49:54,-26.7852,-60.4388,73.4,88,90,17.27
263,Upernavik,GL,2021-01-16 00:49:54,72.7868,-56.1549,16.11,96,100,7.29
264,Yichun,CN,2021-01-16 00:49:54,47.7,128.9,-12.03,86,18,1.92
265,Shiyan,CN,2021-01-16 00:49:54,32.6475,110.7781,39.65,63,100,2.37
266,Isangel,VU,2021-01-16 00:49:54,-19.55,169.2667,81.99,79,100,6.33
267,Lorengau,PG,2021-01-16 00:49:54,-2.0226,147.2712,85.42,72,100,12.17
268,Mecca,SA,2021-01-16 00:49:54,21.4267,39.8261,69.55,64,0,3.47
269,San Jose,US,2021-01-16 00:47:42,37.3394,-121.895,66.2,48,75,5.75
270,Portland,US,2021-01-16 00:47:07,45.5234,-122.6762,50.0,87,90,2.13
271,Namibe,AO,2021-01-16 00:49:54,-15.1961,12.1522,72.95,69,0,6.93
272,Tibati,CM,2021-01-16 00:49:54,6.4667,12.6333,60.51,33,2,2.93
273,Victoria,HK,2021-01-16 00:48:41,22.2855,114.1577,64.0,49,83,11.74
274,Imbituba,BR,2021-01-16 00:49:23,-28.24,-48.6703,77.0,83,40,2.3
275,Romitan,UZ,2021-01-16 00:49:54,39.9343,64.3814,42.8,70,0,9.22
276,Nago,JP,2021-01-16 00:49:54,26.5881,127.9761,69.8,94,1,4.61
277,Belaya Gora,RU,2021-01-16 00:49:54,68.5333,146.4167,-21.37,87,99,5.77
278,San Quintin,MX,2021-01-16 00:46:11,30.4833,-115.95,67.86,35,0,2.28
279,Ponta Do Sol,PT,2021-01-16 00:49:54,32.6667,-17.1,53.01,63,16,3.0
280,Lethem,GY,2021-01-16 00:49:55,3.3803,-59.7968,78.87,72,0,12.86
281,Sangar,RU,2021-01-16 00:49:55,63.9242,127.4739,-47.79,77,84,2.42
282,Labuhan,ID,2021-01-16 00:49:55,-6.8844,112.2051,79.86,80,97,4.25
283,Oytal,KZ,2021-01-16 00:49:55,42.9057,73.2697,33.85,70,0,5.08
284,Yulara,AU,2021-01-16 00:49:55,-25.2406,130.9889,66.2,68,90,10.36
285,Noumea,NC,2021-01-16 00:49:55,-22.2763,166.4572,87.8,66,75,8.05
286,Bonthe,SL,2021-01-16 00:49:55,7.5264,-12.505,77.58,88,0,6.22
287,Plastun,RU,2021-01-16 00:49:55,44.7561,136.2939,11.03,84,100,13.09
288,Narsaq,GL,2021-01-16 00:49:55,60.9167,-46.05,23.0,46,75,5.75
289,Margate,GB,2021-01-16 00:49:55,51.3813,1.3862,36.0,78,100,1.99
290,Diffa,NE,2021-01-16 00:49:55,13.3154,12.6113,65.71,25,0,10.02
291,Ust-Kuyga,RU,2021-01-16 00:49:55,70.0167,135.6,-30.39,82,95,1.74
292,Miri,MY,2021-01-16 00:49:55,4.4148,114.0089,75.2,100,40,5.75
293,Kimamba,TZ,2021-01-16 00:49:55,-6.7833,37.1333,72.27,92,90,2.77
294,Faanui,PF,2021-01-16 00:49:55,-16.4833,-151.75,81.77,73,69,11.05
